dtype_order,Area Improvement (%),Power Improvement (%),Delay Improvement (%),ADP Improvement (%),PDP Improvement (%)
fp8,-5.630579079880982,-5.988850456728967,33.47639484978541,35.07535058855649,42.74268143713059
bf16,26.56984738939706,70.55383312124228,44.58375125376129,66.58073494939929,89.72925271247676
fp32,69.48151234270216,97.60465733819129,57.89817232375979,89.90528056527937,99.404165500044
